id,Source,Target,weight
"292,""      ITD004"",""IT3"",20958"
"293,""      ITD004"",""IT4"",4014"
"294,""      ITD004"",""IT8"",54"
"295,""      ITD004"",""IT9"",548"
"296,""      ITD004"",""ITB"",380"
"297,""      ITD004"",""ITC"",234"
"298,""      ITD004"",""ITD"",48"
"299,""      ITD004"",""ITE"",188"
"300,""      ITD004"",""ITG"",21"
"301,""      ITD004"",""ITK"",247"
"302,""      ITD004"",""ITM"",105"
"303,""      ITF001"",""IT3"",188"
"304,""      ITF004"",""IT3"",2"
"305,""      ITF004"",""ITB"",3"
"306,""      NLF001"",""NL1"",1"
"307,""      NLV001"",""NL1"",7"
"308,""      NLV001"",""NL4"",33"
"309,""      PLD001"",""CZR"",13"
"310,""      PLD001"",""EE1"",585"
"311,""      PLD001"",""LT1"",253"
"312,""      PLD001"",""LV1"",509"
"313,""      PLD001"",""PL1"",1123"
"314,""      PLD001"",""PL2"",34"
"315,""      PLD001"",""PL4"",4"
"316,""      PLD001"",""PL5"",79"
"317,""      PLD001"",""PLR"",4629"
"318,""      PLD001"",""SKR"",36"
"319,""      PLD001"",""XS0"",204"
"320,""      PTF001"",""IB5"",73"
"321,""      SAV001"",""M11"",4121"
"322,""      SEF001"",""FI4"",88"
"323,""      TRD001"",""TR1"",1173"
"324,""      TRD004"",""TR1"",3456"
"325,""      TRD005"",""TR1"",679"
"326,""      TRD006"",""TR1"",90"
"327,""      TRF001"",""TR1"",1"
"328,""      UKD001"",""   "",2071"
"329,""      UKD001"",""AF1"",43"
"330,""      UKD001"",""AF3"",913"
"331,""      UKD001"",""AF6"",747"
"332,""      UKD001"",""AF8"",10"
"333,""      UKD001"",""AFB"",286"
"334,""      UKD001"",""AFH"",45"
"335,""      UKD001"",""AFK"",151"
"336,""      UKD001"",""AFN"",276"
"337,""      UKD001"",""AFT"",6"
"338,""      UKD001"",""DK?"",3724"
"339,""      UKD001"",""DK1"",5"
"340,""      UKD001"",""DK4"",46"
"341,""      UKD001"",""IE1"",4371"
"342,""      UKD001"",""M11"",67"
"343,""      UKD001"",""NO?"",3938"
"344,""      UKD001"",""NO1"",45"
"345,""      UKD001"",""SC1"",1"
"346,""      UKD001"",""SE?"",6689"
"347,""      UKD001"",""SE1"",33"
"348,""      UKD001"",""SE4"",4"
"349,""      UKD001"",""UK1"",101915"
"350,""      UKD001"",""UK2"",1388"
"351,""      UKD001"",""UK3"",150"
"352,""      UKD001"",""UK4"",192"
"353,""      UKD001"",""UK7"",17"
"354,""      UKD001"",""UK8"",351"
"355,""      UKD001"",""UKB"",1526"
"356,""      UKD001"",""UKC"",129"
"357,""      UKD001"",""UKI"",1018"
"358,""      UKD001"",""UKJ"",260"
"359,""      UKD001"",""UT1"",5"
"360,""      UKD002"",""IE1"",1"
"361,""      UKD002"",""UK1"",56"
"362,""      UKF001"",""UK1"",281"
"363,""      UKF001"",""UK4"",2"
"364,""      UKV001"",""UK1"",377"
"365,""      UKV001"",""UK2"",3"
"366,""      ZAD001"",""   "",1"
"367,""      ZAD001"",""ZA1"",573"
"368,""      ZAD001"",""ZA2"",5"
"369,""      ZAD001"",""ZA3"",4"
"370,""      ZAD001"",""ZA4"",1507"
