id;Source;CIUDAD;LATITUD;LONGITUD;País;Target;ciudad;LATITUD;LONGITUD;País;weight
51;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DE6;Bad Bevensen;53°05?00?N;10°35?00?E;Alemania;1502
122;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;DE6;Bad Bevensen;53°05?00?N;10°35?00?E;Alemania;3
244;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;DE6;Bad Bevensen;53°05?00?N;10°35?00?E;Alemania;54
265;      ITD001;Roma;41°50?01?N;12°45?11?E;Italia;DE6;Bad Bevensen;53°05?00?N;10°35?00?E;Alemania;1
52;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DE9;Bahramuhle;50°52?00?N;13°59?00?E;Alemania;1
53;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DEL;Emstadt;50°22?00?N;10°59?00?E;Alemania;111
54;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DEN;Furstenhagen;51°19?00?N;10°06?00?E;Alemania;1
55;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DER;Geilsdorf;50°44?00?N;11°05?00?E;Alemania;10861
206;      BEK001;Valonia;50°53?35?N;02°59?07?E;Belgica;DER;Geilsdorf;50°44?00?N;11°05?00?E;Alemania;1
338;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;DK?;Jonstrup;56°00?38?N;12°25?43?E;Dinamarca;3724
56;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DK1;Boderne;55°01?25?N;14°54?23?E;Dinamarca;1612
123;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;DK1;Boderne;55°01?25?N;14°54?23?E;Dinamarca;2
152;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;DK1;Boderne;55°01?25?N;14°54?23?E;Dinamarca;151
180;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;DK1;Boderne;55°01?25?N;14°54?23?E;Dinamarca;23
245;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;DK1;Boderne;55°01?25?N;14°54?23?E;Dinamarca;8
339;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;DK1;Boderne;55°01?25?N;14°54?23?E;Dinamarca;5
57;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DK2;Klinteby;55°04?43?N;15°06?01?E;Dinamarca;13
153;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;DK2;Klinteby;55°04?43?N;15°06?01?E;Dinamarca;1
58;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;DK4;Tulstrup;56°04?21?N;12°15?16?E;Dinamarca;4626
124;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;DK4;Tulstrup;56°04?21?N;12°15?16?E;Dinamarca;4
154;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;DK4;Tulstrup;56°04?21?N;12°15?16?E;Dinamarca;1
181;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;DK4;Tulstrup;56°04?21?N;12°15?16?E;Dinamarca;16
207;      BEK001;Valonia;50°53?35?N;02°59?07?E;Belgica;DK4;Tulstrup;56°04?21?N;12°15?16?E;Dinamarca;2
340;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;DK4;Tulstrup;56°04?21?N;12°15?16?E;Dinamarca;46
59;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;EE1;Aleksandri;58°27?00?N;25°27?00?E;Estonia;475
246;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;EE1;Aleksandri;58°27?00?N;25°27?00?E;Estonia;3
310;      PLD001;Lisboa;38°47?26?N;09°13?42?W;Portugal;EE1;Aleksandri;58°27?00?N;25°27?00?E;Estonia;585
60;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;F11;Flavion;50°14?58?N;04°43?01?E;Belgica;487
155;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;F11;Flavion;50°14?58?N;04°43?01?E;Belgica;7
182;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;F11;Flavion;50°14?58?N;04°43?01?E;Belgica;601
61;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;F12;Jamagne;50°13?04?N;04°31?49?E;Belgica;211
62;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;F13;Les Trieux;50°02?03?N;04°26?59?E;Belgica;98
63;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FI1;Hiukkamaki;60°59?00?N;23°48?00?E;Finlandia;1070
156;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;FI1;Hiukkamaki;60°59?00?N;23°48?00?E;Finlandia;40
183;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FI1;Hiukkamaki;60°59?00?N;23°48?00?E;Finlandia;443
239;      FIV001;Helsinki;60°23?00?N;22°39?00?E;Finlandia;FI1;Hiukkamaki;60°59?00?N;23°48?00?E;Finlandia;13
247;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;FI1;Hiukkamaki;60°59?00?N;23°48?00?E;Finlandia;7
64;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FI4;Kinola;61°01?00?N;23°18?00?E;Finlandia;3914
125;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;FI4;Kinola;61°01?00?N;23°18?00?E;Finlandia;12
157;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;FI4;Kinola;61°01?00?N;23°18?00?E;Finlandia;2
184;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FI4;Kinola;61°01?00?N;23°18?00?E;Finlandia;3923
208;      BEK001;Valonia;50°53?35?N;02°59?07?E;Belgica;FI4;Kinola;61°01?00?N;23°18?00?E;Finlandia;1
322;      SEF001;Belgrado;45°48?09?N;20°07?33?E;Serbia;FI4;Kinola;61°01?00?N;23°18?00?E;Finlandia;88
65;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FIA;Maisaari;60°20?00?N;21°54?00?E;Finlandia;1
66;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FR1;Brevilliers;47°34?56?N;06°47?23?E;Francia;1047
158;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;FR1;Brevilliers;47°34?56?N;06°47?23?E;Francia;1
67;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FR2;Brotte-les-Ray;47°36?19?N;05°44?12?E;Francia;1082
185;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FR2;Brotte-les-Ray;47°36?19?N;05°44?12?E;Francia;4351
68;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FR3;Courmont;47°36?43?N;06°37?44?E;Francia;1180
186;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FR3;Courmont;47°36?43?N;06°37?44?E;Francia;1415
258;      FRD003;Lorena;48°31?50?N;05°29?40?E;Francia;FR3;Courmont;47°36?43?N;06°37?44?E;Francia;4
69;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FR4;Allex;44°45?52?N;04°55?03?E;Francia;27338
126;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;FR4;Allex;44°45?52?N;04°55?03?E;Francia;70
159;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;FR4;Allex;44°45?52?N;04°55?03?E;Francia;66
187;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FR4;Allex;44°45?52?N;04°55?03?E;Francia;23111
209;      BEK001;Valonia;50°53?35?N;02°59?07?E;Belgica;FR4;Allex;44°45?52?N;04°55?03?E;Francia;4
248;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;FR4;Allex;44°45?52?N;04°55?03?E;Francia;455
259;      FRD003;Lorena;48°31?50?N;05°29?40?E;Francia;FR4;Allex;44°45?52?N;04°55?03?E;Francia;24
261;      FRF001;Lemosin;45°37?00?N;02°23?00?E;Francia;FR4;Allex;44°45?52?N;04°55?03?E;Francia;41
266;      ITD001;Roma;41°50?01?N;12°45?11?E;Italia;FR4;Allex;44°45?52?N;04°55?03?E;Francia;18
70;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FR5;Alix;45°54?49?N;04°39?14?E;Francia;103
71;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FR6;Bassy;45°59?04?N;05°49?45?E;Francia;2
72;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FR7;Charnas;45°20?13?N;04°44?38?E;Francia;16
188;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FR7;Charnas;45°20?13?N;04°44?38?E;Francia;18
73;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FR8;Beinheim;48°51?48?N;08°05?04?E;Francia;484
189;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FR8;Beinheim;48°51?48?N;08°05?04?E;Francia;128
267;      ITD001;Roma;41°50?01?N;12°45?11?E;Italia;FR8;Beinheim;48°51?48?N;08°05?04?E;Francia;2
74;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FRB;Graufthal;48°49?09?N;07°16?52?E;Francia;131
190;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FRB;Graufthal;48°49?09?N;07°16?52?E;Francia;803
75;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;FRD;Laubenheim;48°29?40?N;07°23?08?E;Francia;457
191;      BED005;Namur;50°31?37?N;04°45?16?E;Belgica;FRD;Laubenheim;48°29?40?N;07°23?08?E;Francia;2689
260;      FRD003;Lorena;48°31?50?N;05°29?40?E;Francia;FRD;Laubenheim;48°29?40?N;07°23?08?E;Francia;9
11;      ATD001;Viena;48°10?00?N;16°29?00?E;Austria;HU1;Balazshalom;47°38?00?N;20°12?00?E;Hungría;1812
76;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;HU1;Balazshalom;47°38?00?N;20°12?00?E;Hungría;2
77;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;HU4;Alsoerdo;47°15?00?N;17°28?00?E;Hungría;13
78;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;IB0;Eume;43°24?00?N;08°00?00?W;España;27
227;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;IB0;Eume;43°24?00?N;08°00?00?W;España;1873
236;      ESF001;Barcelona;41°32?00?N;02°24?00?E;España;IB0;Eume;43°24?00?N;08°00?00?W;España;3
79;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;IB1;Berbedel;41°34?00?N;01°18?00?W;España;6
228;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;IB1;Berbedel;41°34?00?N;01°18?00?W;España;640
229;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;IB2;Castañuelo;37°56?00?N;06°34?00?W;España;558
80;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;IB3;Bourio;43°31?00?N;06°56?00?W;España;6
230;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;IB3;Bourio;43°31?00?N;06°56?00?W;España;59
81;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;IB4;Villamuelas;39°48?00?N;03°43?00?W;España;38
127;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;IB4;Villamuelas;39°48?00?N;03°43?00?W;España;2
231;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;IB4;Villamuelas;39°48?00?N;03°43?00?W;España;2179
82;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;IB5;Maceiras;42°49?00?N;09°07?00?W;España;3104
128;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;IB5;Maceiras;42°49?00?N;09°07?00?W;España;27
232;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;IB5;Maceiras;42°49?00?N;09°07?00?W;España;43148
237;      ESF001;Barcelona;41°32?00?N;02°24?00?E;España;IB5;Maceiras;42°49?00?N;09°07?00?W;España;11
238;      ESV001;Cadiz;36°41?00?N;06°05?00?W;España;IB5;Maceiras;42°49?00?N;09°07?00?W;España;18
320;      PTF001;Madeira;32°43?00?N;17°09?00?W;Portugal;IB5;Maceiras;42°49?00?N;09°07?00?W;España;73
233;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;IB6;Yuncos;40°05?00?N;03°52?00?W;España;11
234;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;IBR;Lillo;39°43?00?N;03°18?00?W;España;232
83;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;IBX;Mora;39°41?00?N;03°46?00?W;España;136
